repo_name,repo_owner,repo_url,repo_owner_url,stars
free-programming-books-zh_CN,justjavac,/justjavac/free-programming-books-zh_CN,/justjavac,87300.0
angular,angular,/angular/angular,/angular,79500.0
storybook,storybookjs,/storybookjs/storybook,/storybookjs,68700.0
33-js-concepts,leonardomso,/leonardomso/33-js-concepts,/leonardomso,46500.0
ionic-framework,ionic-team,/ionic-team/ionic-framework,/ionic-team,46300.0
prettier,prettier,/prettier/prettier,/prettier,41900.0
sheetjs,SheetJS,/SheetJS/sheetjs,/SheetJS,29000.0
angular-cli,angular,/angular/angular-cli,/angular,25200.0
components,angular,/angular/components,/angular,22500.0
NativeScript,NativeScript,/NativeScript/NativeScript,/NativeScript,20900.0
generator-jhipster,jhipster,/jhipster/generator-jhipster,/jhipster,19300.0
rxdb,pubkey,/pubkey/rxdb,/pubkey,17000.0
handsontable,handsontable,/handsontable/handsontable,/handsontable,16200.0
bit,teambit,/teambit/bit,/teambit,14700.0
javascript-testing-best-practices,goldbergyoni,/goldbergyoni/javascript-testing-best-practices,/goldbergyoni,14400.0
sweetalert2,sweetalert2,/sweetalert2/sweetalert2,/sweetalert2,14200.0
mean,linnovate,/linnovate/mean,/linnovate,12100.0
codesandbox-client,codesandbox,/codesandbox/codesandbox-client,/codesandbox,11200.0
nx,nrwl,/nrwl/nx,/nrwl,10700.0
angular-starter,PatrickJS,/PatrickJS/angular-starter,/PatrickJS,10400.0
PeerTube,Chocobozzz,/Chocobozzz/PeerTube,/Chocobozzz,10300.0
protractor,angular,/angular/protractor,/angular,8800.0
OnsenUI,OnsenUI,/OnsenUI/OnsenUI,/OnsenUI,8500.0
graphql-code-generator,dotansimha,/dotansimha/graphql-code-generator,/dotansimha,8300.0
awesome-angular,PatrickJS,/PatrickJS/awesome-angular,/PatrickJS,8200.0
text-mask,text-mask,/text-mask/text-mask,/text-mask,8100.0
javascript-interview-questions,sudheerj,/sudheerj/javascript-interview-questions,/sudheerj,8100.0
ng-zorro-antd,NG-ZORRO,/NG-ZORRO/ng-zorro-antd,/NG-ZORRO,8000.0
ag-grid,ag-grid,/ag-grid/ag-grid,/ag-grid,8000.0
ng-bootstrap,ng-bootstrap,/ng-bootstrap/ng-bootstrap,/ng-bootstrap,7900.0
